r_gt,d,arc,n_circles,r_meas,e_r,e_c,f_req,r_pred,e_c_pred,note
0.2,1.5,1.0,1,0.21707,0.01707,-0.0564,0.03937,0.22888,-0.14111,
0.2,1.5,0.9,1,0.19786,-0.00214,-0.07121,0.07359,0.21678,-0.17563,
0.2,1.5,0.75,1,0.17297,-0.02703,-0.08453,0.09398,0.20509,-0.18876,
0.2,1.5,0.6,1,0.14979,-0.05021,-0.09183,0.11097,0.19444,-0.19429,
0.2,1.5,0.5,1,0.13269,-0.06731,-0.09456,0.12258,0.18752,-0.19571,
0.2,2.0,1.0,1,0.21327,0.01327,-0.05815,0.04492,0.22978,-0.13489,
0.2,2.0,0.9,1,0.19481,-0.00519,-0.07273,0.07469,0.21919,-0.17101,
0.2,2.0,0.75,1,0.17024,-0.02976,-0.0867,0.09474,0.20809,-0.18534,
0.2,2.0,0.6,1,0.14691,-0.05309,-0.09509,0.11189,0.19768,-0.19174,
0.2,2.0,0.5,1,0.12757,-0.07243,-0.09897,0.12509,0.19082,-0.19361,
0.2,2.5,1.0,1,0.2217,0.0217,-0.04895,0.02734,0.2302,-0.1311,
0.2,2.5,0.9,1,0.20121,0.00121,-0.06559,0.06784,0.22053,-0.16815,
0.2,2.5,0.75,1,0.17889,-0.02111,-0.07732,0.08811,0.2098,-0.18322,
0.2,2.5,0.6,1,0.15681,-0.04319,-0.08408,0.10476,0.19955,-0.19014,
0.2,2.5,0.5,1,0.13927,-0.06073,-0.08675,0.11694,0.19274,-0.19229,
0.2,3.0,1.0,1,0.21751,0.01751,-0.05174,0.03462,0.23043,-0.12855,
0.2,3.0,0.9,1,0.1868,-0.0132,-0.07796,0.07956,0.22138,-0.16622,
0.2,3.0,0.75,1,0.16349,-0.03651,-0.09188,0.09823,0.21091,-0.18177,
0.2,3.0,0.6,1,0.13335,-0.06665,-0.1035,0.12005,0.20078,-0.18905,
0.2,3.0,0.5,1,0.11763,-0.08237,-0.10701,0.13066,0.19399,-0.19139,
0.2,4.0,1.0,1,0.21138,0.01138,-0.05572,0.0448,0.23065,-0.12533,
0.2,4.0,0.9,1,0.18354,-0.01646,-0.08008,0.08089,0.22239,-0.16376,
0.2,4.0,0.75,1,0.15105,-0.04895,-0.0999,0.10645,0.21225,-0.17993,
0.2,4.0,0.6,1,0.13002,-0.06998,-0.10852,0.1215,0.20227,-0.18766,
0.2,4.0,0.5,1,0.1082,-0.0918,-0.11427,0.1362,0.19554,-0.19024,
0.25,1.0,1.0,1,0.26569,0.01569,-0.0807,0.06514,0.27951,-0.20225,
0.25,1.0,0.9,1,0.22861,-0.02139,-0.10616,0.13082,0.25822,-0.23809,
0.25,1.0,0.75,1,0.19744,-0.05256,-0.12099,0.18276,0.2415,-0.24934,
0.25,1.0,0.6,1,0.17032,-0.07968,-0.12869,0.20145,0.22748,-0.25267,
0.25,1.0,0.5,1,0.15162,-0.09838,-0.13141,0.21361,0.21877,-0.25263,
0.25,1.5,1.0,1,0.27384,0.02384,-0.07027,0.04648,0.28464,-0.18399,
0.25,1.5,0.9,1,0.2448,-0.0052,-0.09134,0.10107,0.26769,-0.2251,
0.25,1.5,0.75,1,0.21757,-0.03243,-0.10449,0.15041,0.2524,-0.24002,
0.25,1.5,0.6,1,0.18921,-0.06079,-0.11221,0.18863,0.23883,-0.24588,
0.25,1.5,0.5,1,0.16979,-0.08021,-0.11457,0.20171,0.23013,-0.24711,
0.25,2.0,1.0,1,0.27116,0.02116,-0.07015,0.04921,0.28641,-0.17446,
0.25,2.0,0.9,1,0.23594,-0.01406,-0.09789,0.11445,0.27176,-0.21811,
0.25,2.0,0.75,1,0.206,-0.044,-0.11444,0.16803,0.25732,-0.2349,
0.25,2.0,0.6,1,0.17322,-0.07678,-0.12581,0.19753,0.24408,-0.24208,
0.25,2.0,0.5,1,0.15397,-0.09603,-0.12957,0.21044,0.23544,-0.24399,
0.25,2.5,1.0,1,0.26659,0.01659,-0.07269,0.05614,0.28723,-0.16861,
0.25,2.5,0.9,1,0.24352,-0.00648,-0.09091,0.09985,0.27399,-0.21376,
0.25,2.5,0.75,1,0.21281,-0.03719,-0.10838,0.15562,0.26011,-0.23168,
0.25,2.5,0.6,1,0.18364,-0.06636,-0.11887,0.18986,0.2471,-0.23967,
0.25,2.5,0.5,1,0.15947,-0.09053,-0.12371,0.20637,0.23852,-0.24201,
0.25,3.0,1.0,1,0.27703,0.02703,-0.06155,0.03503,0.28767,-0.16467,
0.25,3.0,0.9,1,0.24386,-0.00614,-0.09033,0.09808,0.27539,-0.21079,
0.25,3.0,0.75,1,0.20595,-0.04405,-0.11257,0.16675,0.2619,-0.22947,
0.25,3.0,0.6,1,0.177,-0.073,-0.12306,0.19376,0.24905,-0.23802,
0.25,3.0,0.5,1,0.15442,-0.09558,-0.12787,0.20911,0.24053,-0.24065,
0.25,4.0,1.0,1,0.27722,0.02722,-0.0589,0.03183,0.28811,-0.15968,
0.25,4.0,0.9,1,0.25585,0.00585,-0.07719,0.07485,0.27705,-0.20701,
0.25,4.0,0.75,1,0.22894,-0.02106,-0.09261,0.12546,0.26406,-0.22664,
0.25,4.0,0.6,1,0.19321,-0.05679,-0.10402,0.18163,0.25144,-0.23589,
0.25,4.0,0.5,1,0.17404,-0.07596,-0.10687,0.19496,0.24298,-0.23888,
0.3,1.0,1.0,1,0.31423,0.01423,-0.10284,0.08878,0.33045,-0.25523,
0.3,1.0,0.9,1,0.2667,-0.0333,-0.13375,0.17155,0.30201,-0.29428,
0.3,1.0,0.75,1,0.22927,-0.07073,-0.15028,0.23622,0.28111,-0.30518,
0.3,1.0,0.6,1,0.19943,-0.10057,-0.15797,0.28564,0.26413,-0.30747,
0.3,1.0,0.5,1,0.17787,-0.12213,-0.16072,0.29944,0.25376,-0.30659,
0.3,1.5,1.0,1,0.33051,0.03051,-0.08514,0.05471,0.33941,-0.22971,
0.3,1.5,0.9,1,0.295,-0.005,-0.10979,0.12111,0.31694,-0.27655,
0.3,1.5,0.75,1,0.26198,-0.03802,-0.12446,0.18091,0.29785,-0.29268,
0.3,1.5,0.6,1,0.22906,-0.07094,-0.13192,0.23765,0.28131,-0.29847,
0.3,1.5,0.5,1,0.20765,-0.09235,-0.13363,0.27333,0.27085,-0.29932,
0.3,2.0,1.0,1,0.32732,0.02732,-0.08427,0.057,0.34249,-0.21625,
0.3,2.0,0.9,1,0.29522,-0.00478,-0.10827,0.11756,0.32324,-0.26681,
0.3,2.0,0.75,1,0.25829,-0.04171,-0.12679,0.18451,0.30529,-0.28561,
0.3,2.0,0.6,1,0.22385,-0.07615,-0.13648,0.24396,0.28915,-0.29327,
0.3,2.0,0.5,1,0.20162,-0.09838,-0.13949,0.28118,0.27874,-0.29507,
0.3,2.5,1.0,1,0.33445,0.03445,-0.0758,0.04145,0.34391,-0.20795,
0.3,2.5,0.9,1,0.30493,0.00493,-0.09892,0.09914,0.32666,-0.2607,
0.3,2.5,0.75,1,0.27195,-0.02805,-0.11565,0.16041,0.30947,-0.28112,
0.3,2.5,0.6,1,0.23519,-0.06481,-0.12546,0.22471,0.29363,-0.28993,
0.3,2.5,0.5,1,0.21312,-0.08688,-0.12787,0.26187,0.28328,-0.29232,
0.3,3.0,1.0,1,0.31991,0.01991,-0.08723,0.06737,0.34467,-0.20234,
0.3,3.0,0.9,1,0.29222,-0.00778,-0.1091,0.11982,0.32879,-0.25651,
0.3,3.0,0.75,1,0.25537,-0.04463,-0.13005,0.18674,0.31213,-0.27802,
0.3,3.0,0.6,1,0.22037,-0.07963,-0.14264,0.24746,0.29652,-0.28761,
0.3,3.0,0.5,1,0.19136,-0.10864,-0.14846,0.28764,0.28622,-0.29042,
0.3,4.0,1.0,1,0.32757,0.02757,-0.07766,0.05018,0.34543,-0.19522,
0.3,4.0,0.9,1,0.30422,0.00422,-0.09733,0.096,0.33128,-0.25114,
0.3,4.0,0.75,1,0.26633,-0.03367,-0.11962,0.16635,0.31533,-0.27402,
0.3,4.0,0.6,1,0.22972,-0.07028,-0.13243,0.23057,0.30002,-0.28461,
0.3,4.0,0.5,1,0.20078,-0.09922,-0.13772,0.27958,0.28982,-0.28794,
0.4,1.0,1.0,1,0.40152,0.00152,-0.15568,0.1542,0.42332,-0.37166,
0.4,1.0,0.9,1,0.34169,-0.05831,-0.18971,0.25688,0.37837,-0.41272,
0.4,1.0,0.75,1,0.29582,-0.10418,-0.20633,0.33482,0.34898,-0.42054,
0.4,1.0,0.6,1,0.25726,-0.14274,-0.21332,0.39844,0.32642,-0.41936,
0.4,1.0,0.5,1,0.23364,-0.16636,-0.21469,0.43667,0.31307,-0.41619,
0.4,1.5,1.0,1,0.42365,0.02365,-0.13141,0.10799,0.44515,-0.32924,
0.4,1.5,0.9,1,0.36138,-0.03862,-0.17321,0.21765,0.40978,-0.38484,
0.4,1.5,0.75,1,0.31179,-0.08821,-0.19595,0.30395,0.38263,-0.40168,
0.4,1.5,0.6,1,0.26875,-0.13125,-0.20749,0.37638,0.36012,-0.40624,
0.4,1.5,0.5,1,0.24123,-0.15877,-0.2112,0.42168,0.34621,-0.4058,
0.4,2.0,1.0,0,,,,,0.45255,-0.30627,NO_DETECTION
0.4,2.0,0.9,1,0.39334,-0.00666,-0.14638,0.16148,0.42259,-0.36874,
0.4,2.0,0.75,1,0.34931,-0.05069,-0.16594,0.24122,0.39714,-0.39024,
0.4,2.0,0.6,1,0.30541,-0.09459,-0.17589,0.31686,0.37508,-0.39796,
0.4,2.0,0.5,1,0.27686,-0.12314,-0.17818,0.36445,0.36113,-0.39909,
0.4,2.5,1.0,0,,,,,0.45593,-0.29196,NO_DETECTION
